index,label,split
0,0,train
1,0,val
2,0,train
3,0,train
4,0,test
5,0,train
6,0,train
7,0,train
8,0,train
9,0,train
10,0,train
11,0,train
12,0,train
13,0,test
14,0,test
15,0,train
16,0,train
17,0,train
18,0,val
19,0,train
20,0,test
21,0,test
22,0,train
23,0,train
24,0,train
25,0,train
26,0,train
27,0,test
28,0,train
29,0,val
30,0,train
31,0,train
32,0,test
33,0,train
34,0,test
35,0,test
36,0,train
37,0,train
38,0,train
39,0,train
40,0,test
41,0,train
42,0,train
43,0,train
44,0,val
45,0,train
46,0,train
47,0,test
48,0,train
49,0,val
50,0,train
51,0,train
52,0,test
53,0,train
54,0,train
55,0,train
56,0,train
57,0,val
58,0,train
59,0,train
60,0,train
61,0,train
62,0,test
63,0,train
64,0,test
65,0,train
66,0,train
67,0,val
68,0,train
69,0,train
70,0,train
71,0,train
72,0,val
73,0,train
74,0,train
75,0,train
76,0,train
77,0,train
78,0,train
79,0,train
80,0,train
81,0,val
82,0,train
83,0,train
84,0,train
85,0,train
86,0,train
87,0,test
88,0,train
89,0,val
90,0,train
91,0,test
92,0,train
93,0,train
94,0,val
95,0,test
96,0,val
97,0,train
98,0,test
99,0,train
100,0,train
101,0,train
102,0,val
103,0,train
104,0,val
105,0,train
106,0,val
107,0,train
108,0,val
109,0,train
110,0,train
111,0,train
112,0,val
113,0,train
114,0,train
115,0,train
116,0,train
117,0,train
118,0,val
119,0,train
120,0,train
121,0,test
122,0,train
123,0,val
124,0,train
125,0,train
126,0,train
127,0,train
128,0,test
129,0,train
130,0,test
131,0,train
132,0,train
133,0,train
134,0,test
135,0,train
136,0,train
137,0,train
138,0,test
139,0,train
140,0,train
141,0,train
142,0,train
143,0,train
144,0,train
145,0,train
146,0,train
147,0,train
148,0,train
149,0,train
150,0,val
151,0,train
152,0,train
153,0,train
154,0,train
155,0,train
156,0,test
157,0,train
158,0,train
159,0,test
160,0,train
161,0,test
162,0,train
163,0,train
164,0,train
165,0,train
166,0,test
167,0,train
168,0,val
169,0,train
170,0,test
171,0,train
172,0,train
173,0,val
174,0,train
175,0,train
176,0,train
177,0,val
178,0,train
179,0,train
180,0,train
181,0,train
182,0,train
183,0,train
184,0,train
185,0,val
186,0,train
187,0,test
188,0,train
189,0,test
190,0,train
191,0,train
192,0,train
193,0,train
194,0,val
195,0,train
196,0,train
197,0,train
198,0,val
199,0,train
200,0,test
201,0,test
202,0,train
203,0,train
204,0,train
205,0,test
206,0,test
207,0,train
208,0,train
209,0,val
210,0,train
211,0,val
