stage,epoch,lr,train_loss,val_loss,val_accuracy,val_balanced_acc,val_macro_f1,epoch_seconds
1,1,0.001,1.870527,1.726046,0.434799,0.418065,0.390161,95.87
1,2,0.001,1.576693,1.621044,0.46336,0.457391,0.446152,52.79
1,3,0.001,1.472757,1.555764,0.462608,0.460446,0.43997,90.09
1,4,0.001,1.42213,1.498481,0.483653,0.472079,0.459019,104.89
1,5,0.001,1.395142,1.484722,0.490041,0.486191,0.468324,84.24
1,6,0.001,1.356823,1.502479,0.464863,0.47619,0.440412,86.65
1,7,0.001,1.350067,1.453917,0.493799,0.49865,0.470798,86.86
1,8,0.001,1.338429,1.45216,0.48215,0.486964,0.454419,84.95
1,9,0.001,1.3103,1.430073,0.493424,0.496145,0.463687,83.75
1,10,0.001,1.305856,1.422179,0.500939,0.50228,0.473036,83.1
1,11,0.001,1.301525,1.404273,0.502443,0.506495,0.476903,83.16
1,12,0.001,1.292218,1.410804,0.500188,0.502071,0.472735,81.84
2,1,0.0001,1.086531,1.035394,0.644495,0.649131,0.612849,100.77
2,2,0.0001,0.91816,0.930049,0.677565,0.672924,0.647513,56.06
2,3,0.0001,0.834178,0.882596,0.697482,0.695495,0.665985,61.67
2,4,0.0001,0.791471,0.827692,0.716648,0.705993,0.687568,63.97
2,5,0.0001,0.753561,0.811235,0.721157,0.715187,0.693947,65.62
2,6,0.0001,0.736303,0.83155,0.714769,0.713309,0.688727,66.87
2,7,0.0001,0.702187,0.787783,0.725291,0.722873,0.699875,67.29
2,8,0.0001,0.683584,0.814649,0.727546,0.731433,0.704623,67.72
2,1,5e-05,1.12996,1.108919,0.608418,0.612963,0.578594,200.31
2,2,5e-05,0.985493,1.010746,0.645246,0.646514,0.615453,159.86
2,3,5e-05,0.897318,0.963096,0.660654,0.656497,0.627742,94.23
2,4,5e-05,0.850746,0.927382,0.679444,0.672659,0.648872,107.35
2,5,5e-05,0.818967,0.887218,0.693348,0.690682,0.663898,203.41
2,6,5e-05,0.787833,0.883117,0.692221,0.692255,0.664788,189.94
2,7,5e-05,0.758774,0.856743,0.698234,0.692044,0.66907,168.7
2,8,5e-05,0.737436,0.84706,0.705374,0.699583,0.680661,168.88
2,9,5e-05,0.709706,0.831347,0.715145,0.707914,0.685838,169.68
2,10,5e-05,0.699929,0.833898,0.713641,0.712021,0.681324,168.04
2,11,5e-05,0.680286,0.822572,0.721157,0.718087,0.689494,180.75
2,12,5e-05,0.677423,0.806746,0.718527,0.713964,0.693437,190.85
